Month,Current_month_Value,YOY,Comparative_Rate,Total_from_Beg_of_the_Year
2010年08月份,21131.5,23.92%,-3.15%,140997.74
2010年07月份,21818.87,22.35%,-28.90%,119866.25
2010年06月份,30689.08,24.86%,48.86%,98047.38
2010年05月份,20615.55,25.41%,21.63%,67358.3
2010年04月份,16950.06,25.37%,1.02%,46742.75
2010年03月份,16778.66,26.29%,0.00%,29792.68
2010年02月份,0,0.00%,0.00%,13014.03
2009年12月份,25504.41,24.09%,42.29%,194138.62
2009年11月份,17924.45,24.26%,2.23%,168634.21
2009年10月份,17533.16,31.65%,-13.17%,150709.76
2009年09月份,20191.8,35.05%,18.41%,133176.6
2009年08月份,17052.78,33.65%,-4.38%,112984.79
2009年07月份,17833.66,29.94%,-27.44%,95932.01
2009年06月份,24578.03,35.25%,49.52%,78098.35
2009年05月份,16438.02,38.67%,21.58%,53520.32
2009年04月份,13520.31,33.96%,1.76%,37082.3
2009年03月份,13286.21,30.31%,0.00%,23562
2009年02月份,0,0.00%,0.00%,10275.79
2008年12月份,20553.11,22.27%,42.48%,148167.25
2008年11月份,14425.07,23.81%,8.31%,127614.14
2008年10月份,13318.36,24.39%,-10.92%,113189.07
2008年09月份,14951.03,29.02%,17.17%,99870.71
2008年08月份,12759.61,28.09%,-7.03%,84919.69
2008年07月份,13724.1,29.23%,-24.48%,72160.08
2008年06月份,18171.78,29.49%,53.29%,58435.98
2008年05月份,11854.13,25.44%,17.45%,40264.2
2008年04月份,10093.14,25.37%,-1.01%,28410.07
2008年03月份,10195.65,27.31%,0.00%,18316.94
2008年02月份,0,0.00%,0.00%,8121.29
