Montth,Manufacturing_Industry_Index,Manufacturing_YOY,Nonmanufacturing_Industry_Index,Nonmanufacturing_YOY
2011年12月份,50.3,-6.68%,56.3,-4.25%
2011年11月份,49,-11.23%,55.9,-5.09%
2011年10月份,50.4,-7.86%,55.5,-3.31%
2011年09月份,51.2,-4.83%,55.8,-3.63%
2011年08月份,50.9,-1.55%,57.1,-1.55%
2011年07月份,50.7,-0.98%,57.3,0.35%
2011年06月份,50.9,-2.30%,56.6,-3.74%
2011年05月份,52,-3.53%,58.7,1.03%
2011年04月份,52.9,-5.03%,58.2,0.69%
2011年03月份,53.4,-3.09%,59.2,3.32%
2011年02月份,52.2,0.38%,57,0.00%
2011年01月份,52.9,-5.20%,57.2,-1.55%
2010年12月份,53.9,-4.77%,58.8,0.00%
2010年11月份,55.2,0.00%,58.9,0.86%
2010年10月份,54.7,-0.91%,57.4,-3.53%
2010年09月份,53.8,-0.92%,57.9,0.00%
2010年08月份,51.7,-4.26%,58,1.22%
2010年07月份,51.2,-3.94%,57.1,-0.35%
2010年06月份,52.1,-2.07%,58.8,6.14%
2010年05月份,53.9,1.51%,58.1,5.83%
2010年04月份,55.7,4.11%,57.8,8.04%
2010年03月份,55.1,5.15%,57.3,5.33%
2010年02月份,52,6.12%,57,3.45%
2010年01月份,55.8,23.18%,58.1,8.19%
2009年12月份,56.6,37.38%,58.8,15.75%
2009年11月份,55.2,42.27%,58.4,14.06%
2009年10月份,55.2,23.77%,59.5,12.05%
2009年09月份,54.3,6.05%,57.9,5.27%
2009年08月份,54,11.57%,57.3,8.32%
2009年07月份,53.3,10.12%,57.3,2.87%
2009年06月份,53.2,2.31%,55.4,-3.48%
2009年05月份,53.1,-0.38%,54.9,-4.36%
2009年04月份,53.5,-9.63%,53.5,-8.39%
2009年03月份,52.4,-10.27%,54.4,-7.64%
2009年02月份,49,-8.24%,55.1,-7.08%
2009年01月份,45.3,-14.53%,53.7,-10.80%
2008年12月份,41.2,-25.50%,50.8,-15.61%
2008年11月份,38.8,-29.96%,51.2,-15.51%
2008年10月份,44.6,-16.17%,53.1,-13.52%
2008年09月份,51.2,-8.73%,55,-11.15%
2008年08月份,48.4,-10.37%,52.9,-14.26%
2008年07月份,48.4,-9.19%,55.7,-6.23%
2008年06月份,52,-4.59%,57.4,-4.33%
2008年05月份,53.3,-4.31%,57.4,-7.72%
2008年04月份,59.2,1.02%,58.4,-3.31%
2008年03月份,58.4,4.10%,58.9,1.20%
2008年02月份,53.4,0.56%,59.3,-2.15%
2008年01月份,53,-3.81%,60.2,-0.33%
