Month,Current_Export,Current_Export_YOY,Current_Export_Comparative,Current_Import,Current_Import_YOY,Current_Import_Comparative,Total_Export,Total_Export_YOY,Total_Import,Total_Import_YOY
2009年06月份,955.1,-21.30%,7.61%,871.8,-13.20%,15.67%,5216,-21.80%,4246,-25.40%
2009年05月份,887.6,-26.40%,-3.46%,753.7,-25.20%,-4.35%,4261,-21.80%,3373,-28.00%
2009年04月份,919.3,-22.60%,1.82%,788,-23.00%,9.86%,3374,-20.50%,2620,-28.70%
2009年03月份,902.9,-17.10%,39.13%,717.3,-25.10%,19.44%,2455,-19.70%,1832,-30.90%
2009年02月份,648.9,-25.70%,-28.26%,600.5,-24.10%,16.96%,1553,-21.10%,1114,-34.20%
2009年01月份,904.5,-17.50%,-18.63%,513.4,-43.10%,-28.86%,904.5,-17.50%,513.4,-43.10%
2008年12月份,1112,-2.80%,-3.33%,721.8,-21.30%,-3.63%,14285,17.20%,11331,18.50%
2008年11月份,1150,-2.20%,-10.40%,749,-17.90%,-19.54%,13172,19.30%,10612,22.80%
2008年10月份,1283,19.20%,-5.94%,930.9,15.60%,-13.06%,12023,21.90%,9863,27.60%
2008年09月份,1364,21.50%,1.16%,1071,21.30%,0.84%,10741,22.20%,8931,29.00%
2008年08月份,1349,21.10%,-1.32%,1062,23.10%,-4.68%,9377,22.40%,7857,30.00%
2008年07月份,1367,26.90%,12.79%,1114,33.70%,11.20%,8029,22.60%,6792,31.10%
2008年06月份,1212,17.20%,0.57%,1002,31.00%,-0.11%,6663,21.80%,5675,30.60%
2008年05月份,1205,28.10%,1.51%,1003,40.00%,-1.71%,5451,22.90%,4670,30.40%
2008年04月份,1187,21.80%,8.94%,1020,26.40%,6.77%,4246,21.50%,3666,27.90%
2008年03月份,1090,30.60%,24.72%,955.6,24.60%,21.24%,3059,21.40%,2645,28.60%
2008年02月份,873.7,6.50%,-20.31%,788.1,35.10%,-12.60%,1970,16.80%,1689,30.90%
2008年01月份,1096,26.60%,-4.17%,901.7,27.60%,-1.69%,1096,26.60%,901.7,27.60%
