Month,CCI,CCI_YOY,CCI_Comparative,CSI,CSI_YOY,CSI_Comparative,CEI,CEI_YOY,CEI_Comparative
2018年06月份,121.2,6.97%,-3.89%,113.7,4.79%,-3.73%,118.2,1.55%,-3.82%
2018年05月份,126.1,12.59%,-0.32%,118.1,9.45%,0.51%,122.9,7.15%,0.00%
2018年04月份,126.5,11.55%,0.64%,117.5,8.00%,0.34%,122.9,5.58%,0.49%
2018年03月份,125.7,13.24%,-1.33%,117.1,10.26%,-1.60%,122.3,7.09%,-1.37%
2018年02月份,127.4,13.14%,1.35%,119,10.90%,1.54%,124,6.71%,1.39%
2018年01月份,125.7,15.11%,-0.16%,117.2,12.26%,-0.34%,122.3,8.81%,-0.24%
2017年12月份,125.9,16.14%,1.04%,117.6,13.40%,1.12%,122.6,9.96%,1.07%
2017年11月份,124.6,14.73%,-2.35%,116.3,11.51%,-1.77%,121.3,8.79%,-2.10%
2017年10月份,127.6,19.03%,4.68%,118.4,15.40%,4.13%,123.9,12.43%,4.47%
2017年09月份,121.9,16.54%,3.66%,113.7,13.47%,3.18%,118.6,10.22%,3.40%
2017年08月份,117.6,11.36%,2.62%,110.2,8.46%,-0.18%,114.7,5.91%,-2.30%
2017年07月份,114.6,7.30%,1.15%,110.4,7.92%,1.75%,117.4,6.92%,0.86%
2017年06月份,113.3,10.11%,1.16%,108.5,9.49%,0.56%,116.4,10.33%,1.48%
2017年05月份,112,12.22%,-1.23%,107.9,13.34%,-0.83%,114.7,11.58%,-1.46%
2017年04月份,113.4,12.28%,2.16%,108.8,13.93%,2.45%,116.4,11.17%,1.93%
2017年03月份,111,11.00%,-1.42%,106.2,11.91%,-1.03%,114.2,10.44%,-1.72%
2017年02月份,112.6,7.85%,3.11%,107.3,6.55%,2.78%,116.2,8.70%,3.38%
2017年01月份,109.2,5.00%,0.74%,104.4,4.09%,0.68%,112.4,5.44%,0.81%
2016年12月份,108.4,4.53%,-0.18%,103.7,3.08%,-0.58%,111.5,5.39%,0.00%
2016年11月份,108.6,4.32%,1.31%,104.3,4.09%,1.66%,111.5,4.60%,1.18%
2016年10月份,107.2,3.28%,2.49%,102.6,2.70%,2.40%,110.2,3.57%,2.42%
2016年09月份,104.6,-0.95%,-0.95%,100.2,-0.89%,-1.38%,107.6,-0.83%,-0.65%
2016年08月份,105.6,1.54%,-1.12%,101.6,1.91%,-0.68%,108.3,1.40%,-1.37%
2016年07月份,106.8,2.22%,3.79%,102.3,1.51%,3.23%,109.8,2.64%,4.08%
2016年06月份,102.9,-2.50%,3.11%,99.1,-2.63%,4.10%,105.5,-2.31%,2.63%
2016年05月份,99.8,-9.19%,-1.19%,95.2,-8.99%,-0.31%,102.8,-9.35%,-1.81%
2016年04月份,101,-6.13%,1.00%,95.5,-7.01%,0.63%,104.7,-5.59%,1.26%
2016年03月份,100,-6.63%,-4.21%,94.9,-7.23%,-5.76%,103.4,-6.26%,-3.27%
2016年02月份,104.4,-4.92%,0.38%,100.7,-4.19%,0.40%,106.9,-5.40%,0.28%
2016年01月份,104,-1.61%,0.29%,100.3,-0.50%,-0.30%,106.6,-2.20%,0.76%
2015年12月份,103.7,-1.98%,-0.38%,100.6,-0.30%,0.40%,105.8,-3.02%,-0.75%
2015年11月份,104.1,-1.33%,0.29%,100.2,-0.10%,0.30%,106.6,-2.20%,0.19%
2015年10月份,103.8,0.39%,-1.70%,99.9,2.15%,-1.19%,106.4,-0.75%,-1.94%
2015年09月份,105.6,0.19%,1.54%,101.1,0.20%,1.40%,108.5,0.09%,1.59%
2015年08月份,104,0.19%,-0.46%,99.7,0.71%,-1.07%,106.8,-0.19%,-0.17%
2015年07月份,104.48,0.08%,-1.00%,100.78,1.90%,-0.98%,106.98,-0.94%,-0.94%
2015年06月份,105.54,0.80%,-3.97%,101.78,3.43%,-2.70%,108,-0.83%,-4.76%
2015年05月份,109.9,7.43%,2.14%,104.6,7.50%,1.85%,113.4,7.39%,2.25%
2015年04月份,107.6,2.67%,0.47%,102.7,1.78%,0.39%,110.9,3.26%,0.54%
2015年03月份,107.1,-0.74%,-2.46%,102.3,0.99%,-2.66%,110.3,-1.78%,-2.39%
2015年02月份,109.8,6.50%,3.88%,105.1,7.91%,4.27%,113,5.61%,3.67%
2015年01月份,105.7,4.55%,-0.09%,100.8,5.66%,-0.10%,109,3.81%,-0.09%
2014年12月份,105.8,3.42%,0.28%,100.9,5.65%,0.60%,109.1,2.15%,0.09%
2014年11月份,105.5,6.67%,2.03%,100.3,7.50%,2.56%,109,6.13%,1.68%
2014年10月份,103.4,0.49%,-1.90%,97.8,1.88%,-3.07%,107.2,-0.28%,-1.11%
2014年09月份,105.4,5.61%,1.54%,100.9,7.11%,1.92%,108.4,4.73%,1.31%
2014年08月份,103.8,6.13%,-0.57%,99,7.49%,0.10%,107,5.31%,-0.93%
2014年07月份,104.4,7.41%,-0.29%,98.9,8.21%,0.51%,108,6.93%,-0.83%
2014年06月份,104.7,7.94%,2.35%,98.4,7.31%,1.13%,108.9,8.36%,3.13%
2014年05月份,102.3,3.33%,-2.39%,97.3,4.18%,-3.57%,105.6,2.82%,-1.68%
2014年04月份,104.8,1.06%,-2.87%,100.9,3.91%,-0.39%,107.4,-0.65%,-4.36%
2014年03月份,107.9,5.17%,4.66%,101.3,7.20%,4.00%,112.3,4.08%,4.95%
2014年02月份,103.1,-4.71%,1.98%,97.4,-3.18%,2.10%,107,-5.56%,1.90%
2014年01月份,101.1,-3.25%,-1.17%,95.4,-0.73%,-0.10%,105,-4.63%,-1.69%
2013年12月份,102.3,-1.35%,3.44%,95.5,-2.35%,2.36%,106.8,-0.74%,3.99%
2013年11月份,98.9,-5.90%,-3.89%,93.3,-5.38%,-2.81%,102.7,-6.12%,-4.47%
2013年10月份,102.9,-2.98%,3.11%,96,-5.10%,1.91%,107.5,-1.67%,3.86%
2013年09月份,99.8,-1.03%,2.04%,94.2,-1.92%,2.28%,103.5,-0.52%,1.87%
2013年08月份,97.8,-1.62%,0.62%,92.1,-0.92%,0.77%,101.6,-2.04%,0.59%
2013年07月份,97.2,-1.02%,0.21%,91.4,-2.04%,-0.33%,101,-0.49%,0.50%
2013年06月份,97,-2.32%,-2.02%,91.7,-1.71%,-1.82%,100.5,-2.62%,-2.14%
2013年05月份,99,-4.97%,-4.53%,93.4,-3.85%,-3.81%,102.7,-5.67%,-5.00%
2013年04月份,103.7,0.68%,1.07%,97.1,2.53%,2.75%,108.1,-0.37%,0.19%
2013年03月份,102.6,2.55%,-5.18%,94.5,4.71%,-6.06%,107.9,1.24%,-4.77%
2013年02月份,108.2,3.03%,3.54%,100.6,4.63%,4.68%,113.3,2.14%,2.91%
2013年01月份,104.5,0.56%,0.77%,96.1,0.29%,-1.74%,110.1,0.72%,2.32%
2012年12月份,103.7,3.23%,-1.33%,97.8,4.96%,-0.81%,107.6,2.16%,-1.65%
2012年11月份,105.1,8.32%,-0.91%,98.6,9.54%,-2.53%,109.4,7.56%,0.07%
2012年10月份,106.06,5.56%,5.17%,101.16,10.19%,5.33%,109.33,2.90%,5.08%
2012年09月份,100.84,-2.44%,1.44%,96.04,0.94%,3.32%,104.05,-4.41%,0.32%
2012年08月份,99.41,-5.32%,1.23%,92.95,-4.07%,-0.37%,103.71,-6.06%,2.18%
2012年07月份,98.2,-7.01%,-1.11%,93.3,-3.01%,0.00%,101.5,-9.21%,-1.65%
