Month,Current_Month,Current_Month_YOY,Current_Month_Comparattive,Total,Total_YOY
2012年09月份,6226.23,32.67%,-11.55%,67217.58,18.32%
2012年08月份,7039.45,28.36%,30.33%,60991.35,17.02%
2012年07月份,5401.21,9.87%,-41.28%,53951.9,15.69%
2012年06月份,9198.17,45.10%,15.96%,48550.69,16.38%
2012年05月份,7932.32,43.81%,16.35%,39352.53,11.23%
2012年04月份,6817.79,-8.24%,-32.59%,31420.21,5.21%
2012年03月份,10114.42,48.87%,42.32%,24602.42,9.67%
2012年02月份,7107,32.17%,-3.71%,14488,-7.37%
2012年01月份,7381,-28.08%,15.22%,7381,-28.08%
2011年12月份,6406,33.26%,13.80%,74715,-5.96%
2011年11月份,5629,-1.05%,-4.07%,68309,-8.49%
2011年10月份,5868,-0.15%,25.04%,62680,-9.10%
2011年09月份,4693,-21.84%,-14.42%,56812,-9.93%
2011年08月份,5484,0.70%,11.55%,52119,-8.68%
2011年07月份,4916,-7.72%,-22.45%,46635,-9.67%
2011年06月份,6339,5.18%,14.92%,41719,-9.89%
2011年05月份,5516,-15.05%,-25.76%,35380,-12.15%
2011年04月份,7430,-4.01%,9.36%,29864,-11.59%
2011年03月份,6794,33.03%,26.35%,22434,-13.85%
2011年02月份,5377,-23.17%,-47.61%,15640,-25.29%
2011年01月份,10263,-26.35%,113.50%,10263,-26.35%
2010年12月份,4807,26.50%,-15.50%,79450,-17.19%
2010年11月份,5689,92.98%,-3.20%,74643,-18.99%
2010年10月份,5877,132.30%,-2.12%,68954,-22.69%
2010年09月份,6004,16.20%,10.25%,63077,-27.22%
2010年08月份,5446,32.70%,2.23%,57073,-29.97%
2010年07月份,5327,44.32%,-11.61%,51627,-33.29%
2010年06月份,6027,-60.62%,-7.18%,46300,-37.18%
2010年05月份,6493,-2.64%,-16.11%,40273,-31.04%
2010年04月份,7740,30.79%,51.56%,33780,-34.70%
2010年03月份,5107,-73.01%,-27.03%,26040,-43.16%
2010年02月份,6999,-34.68%,-49.77%,20933,-22.16%
2010年01月份,13934,-13.87%,266.70%,13934,-13.87%
2009年12月份,3800,-50.29%,28.90%,95943,95.63%
2009年11月份,2948,-38.26%,16.52%,92143,122.60%
2009年10月份,2530,39.09%,-51.04%,89195,143.60%
2009年09月份,5167,37.97%,25.90%,86665,149.00%
2009年08月份,4104,51.16%,11.19%,81498,162.40%
2009年07月份,3691,-3.33%,-75.88%,77394,173.10%
2009年06月份,15304,360.40%,129.50%,73703,200.50%
2009年05月份,6669,109.40%,12.69%,58399,175.50%
2009年04月份,5918,26.18%,-68.72%,51730,187.10%
2009年03月份,18920,567.60%,76.57%,45812,243.80%
2009年02月份,10715,340.20%,-33.76%,26892,156.30%
2009年01月份,16177,100.80%,111.60%,16177,100.80%
2008年12月份,7645,1476%,60.10%,49042,35.01%
2008年11月份,4775,446.30%,162.50%,41397,15.51%
2008年10月份,1819,33.65%,-51.43%,36622,4.74%
2008年09月份,3745,32.10%,37.94%,34803,3.57%
2008年08月份,2715,-10.37%,-28.89%,31058,0.94%
2008年07月份,3818,65.00%,14.86%,28343,2.17%
2008年06月份,3324,-26.38%,4.36%,24525,-3.54%
2008年05月份,3185,28.79%,-32.09%,21201,1.39%
2008年04月份,4690,11.14%,65.49%,18016,-2.29%
2008年03月份,2834,-35.84%,16.43%,13326,-6.27%
2008年02月份,2434,-41.18%,-69.79%,10492,7.05%
2008年01月份,8058,42.29%,1561%,8058,42.29%
