Month,Current_Month_Value,Current_Month_YOY,Current_Month_Comparattive,Total,Total_YOY
2011年05月份,10612.26,34.03%,5.26%,46820.06,32.00%
2011年04月份,10082.06,27.21%,32.11%,36207.8,31.40%
2011年03月份,7631.35,26.69%,9.07%,26125.74,33.10%
2011年02月份,6997.01,41.50%,-39.14%,18494.39,36.00%
2011年01月份,11497.38,32.78%,81.35%,11497.38,32.80%
2010年12月份,6340,24.70%,8.55%,83080,21.30%
2010年11月份,5840.69,16.13%,-25.69%,76740.51,21.10%
2010年10月份,7860.31,14.83%,25.02%,70899.82,21.50%
2010年09月份,6287.19,12.08%,11.88%,63039.51,22.40%
2010年08月份,5619.35,7.29%,-27.80%,56752.32,23.60%
2010年07月份,7783.18,16.24%,-1.22%,51132.97,25.70%
2010年06月份,7879.4,14.74%,-0.48%,43349.79,27.60%
2010年05月份,7917.66,20.52%,-0.10%,35470.39,30.80%
2010年04月份,7925.66,34.40%,31.58%,27552.73,34.10%
2010年03月份,6023.44,36.83%,21.81%,19627.07,34.00%
2010年02月份,4944.97,20.37%,-42.89%,13603.63,32.90%
2010年01月份,8658.66,41.21%,70.31%,8658.66,41.20%
2009年12月份,5084,55.80%,1.09%,68477,11.70%
2009年11月份,5029.3,32.62%,-26.53%,63393.1,9.20%
2009年10月份,6844.93,28.45%,22.03%,58363.8,7.50%
2009年09月份,5609.35,33.01%,7.10%,51518.87,5.30%
2009年08月份,5237.47,36.11%,-21.78%,45909.52,2.60%
2009年07月份,6695.91,10.25%,-2.50%,40672.05,-0.50%
2009年06月份,6867.47,19.56%,4.54%,33976.14,-2.40%
2009年05月份,6569.47,4.81%,11.40%,27108.67,-6.70%
2009年04月份,5897.15,-13.59%,33.96%,20539.2,-9.90%
2009年03月份,4402.21,-0.31%,7.16%,14642.05,-8.30%
2009年02月份,4108.23,-1.22%,-33.00%,10239.84,-11.40%
2009年01月份,6131.61,-17.10%,88.74%,6131.61,-17.10%
2008年12月份,3248.69,3.30%,-14.34%,61316.9,19.50%
2008年11月份,3792.4,-3.08%,-28.83%,58068.21,20.50%
2008年10月份,5328.95,-0.34%,26.36%,54275.81,22.60%
2008年09月份,4217.22,3.08%,9.60%,48946.86,25.80%
2008年08月份,3847.9,10.08%,-36.64%,44729.64,28.40%
2008年07月份,6073.5,16.52%,5.74%,40881.71,30.50%
2008年06月份,5743.8,30.71%,-8.37%,34808.19,33.30%
2008年05月份,6268.18,52.60%,-8.16%,29064.37,33.80%
2008年04月份,6824.9,17.02%,54.55%,22796.22,29.40%
2008年03月份,4416,24.67%,6.18%,15971.34,35.50%
2008年02月份,4158.8,36.55%,-43.77%,11555.39,40.20%
2008年01月份,7396.64,42.35%,135.20%,7396.64,42.40%
