Month,Nation_Current_Month,Nation_YOY,Nation_Comparative_Rate,Nation_Total,City_Current_Month,City_YOY,City_Comparative_Rate,City_Total,Country_Current_Month,Country_YOY,Country_Comparative_Rate,Country_Total
2012年04月份,103.37,3.40%,-0.10%,103.66,103.38,3.40%,0.00%,103.66,103.33,3.30%,-0.20%,103.66
2012年03月份,103.59,3.60%,0.20%,103.76,103.59,3.60%,0.20%,103.76,103.58,3.60%,0.10%,103.77
2012年02月份,103.16,3.20%,-0.10%,103.85,103.16,3.20%,-0.10%,103.85,103.16,3.20%,-0.10%,103.87
2012年01月份,104.55,4.50%,1.50%,104.55,104.54,4.50%,1.50%,104.54,104.58,4.60%,1.50%,104.58
2011年12月份,104.07,4.10%,0.30%,105.39,104.06,4.10%,0.30%,105.25,104.11,4.10%,0.30%,105.82
2011年11月份,104.22,4.20%,-0.20%,105.52,104.19,4.20%,-0.20%,105.36,104.34,4.30%,-0.20%,105.98
2011年10月份,105.5,5.50%,0.10%,105.65,105.37,5.40%,0.10%,105.48,105.87,5.90%,0.00%,106.15
2011年09月份,106.07,6.10%,0.50%,105.7,105.9,5.90%,0.40%,105.51,106.55,6.60%,0.60%,106.19
2011年08月份,106.15,6.20%,0.30%,105.62,105.94,5.90%,0.30%,105.44,106.66,6.70%,0.30%,106.14
2011年07月份,106.45,6.50%,0.50%,105.54,106.24,6.20%,0.50%,105.37,107.06,7.10%,0.50%,106.06
2011年06月份,106.36,6.40%,0.30%,105.4,106.15,6.20%,0.20%,105.24,106.96,7.00%,0.40%,105.91
2011年05月份,105.51,5.50%,0.10%,105.2,105.35,5.30%,0.10%,105.06,106.02,6.00%,0.10%,105.69
2011年04月份,105.34,5.30%,0.10%,105.12,105.18,5.20%,0.20%,104.96,105.85,5.80%,0.10%,105.6
2011年03月份,105.38,5.40%,-0.20%,105,105.22,5.20%,-0.20%,104.93,105.86,5.90%,-0.30%,105.53
2011年02月份,104.94,4.90%,1.20%,104.88,104.75,4.80%,1.20%,104.73,105.52,5.50%,1.30%,105.35
2011年01月份,104.91,4.90%,1.00%,104.91,104.81,4.80%,1.00%,104.81,105.23,5.20%,1.10%,105.23
2010年12月份,104.59,4.60%,0.50%,103.3,104.39,4.40%,0.50%,103.2,105.07,5.10%,0.60%,103.6
2010年11月份,105.12,5.10%,1.10%,103.21,104.92,4.90%,1.00%,103.09,105.61,5.60%,1.30%,103.48
2010年10月份,104.37,4.40%,0.70%,103.01,104.24,4.20%,0.70%,102.91,104.66,4.70%,0.60%,103.26
2010年09月份,103.61,3.60%,0.60%,102.86,103.5,3.50%,0.50%,102.76,103.86,3.90%,0.70%,103.11
2010年08月份,103.48,3.50%,0.60%,102.77,103.39,3.40%,0.60%,102.67,103.7,3.70%,0.80%,103.01
2010年07月份,103.3,3.30%,0.40%,102.67,103.22,3.20%,0.40%,102.57,103.49,3.50%,0.30%,102.91
2010年06月份,102.95,2.90%,-0.60%,102.56,102.84,2.80%,-0.60%,102.46,103.22,3.20%,-0.50%,102.82
2010年05月份,103.06,3.10%,-0.10%,102.49,102.91,2.90%,-0.10%,102.38,103.31,3.30%,0.00%,102.74
2010年04月份,102.81,2.80%,0.20%,102.35,102.71,2.70%,0.20%,102.25,103.05,3.00%,0.20%,102.59
2010年03月份,102.37,2.40%,-0.70%,102.2,102.26,2.30%,-0.70%,102.09,102.64,2.60%,-0.60%,102.45
2010年02月份,102.7,2.70%,1.20%,102.11,102.61,2.60%,1.20%,102.01,102.89,2.90%,1.10%,102.35
2010年01月份,101.53,1.50%,0.60%,101.53,101.41,1.40%,0.60%,101.41,101.81,1.80%,0.60%,101.81
2009年12月份,101.86,1.90%,1.00%,99.31,101.77,1.80%,1.00%,99.15,102.07,2.10%,1.10%,99.69
