Month,Current_Month_Value,YOY,Comparative_Rate,Total
2011年12月份,14653.26,61.00%,311.90%,826701.35
2011年11月份,3557.2,-39.59%,291.70%,812048.09
2011年10月份,-1855.93,-194.30%,-125.80%,808490.89
2011年09月份,7192.25,-51.94%,-3.63%,810346.82
2011年08月份,7462.81,-33.57%,201.70%,803154.57
2011年07月份,-7334.85,-535.10%,-136.30%,795691.76
2011年06月份,20180.8,44.57%,81.57%,803026.61
2011年05月份,11114.68,3.72%,230.70%,782845.82
2011年04月份,3361.06,-70.02%,-87.70%,771731.14
2011年03月份,27323.97,73.38%,104.10%,768370.08
2011年02月份,13390.75,37.63%,-98.16%,741046.1
2010年12月份,9101.38,71.89%,54.57%,733382.03
2010年11月份,5888.37,-0.58%,199.20%,724280.65
2010年10月份,1968.29,-32.63%,-86.85%,718392.28
2010年09月份,14964.09,52.35%,33.20%,716423.99
2010年08月份,11234.19,222.80%,566.40%,701459.9
2010年07月份,1685.76,-58.46%,-87.92%,690225.71
2010年06月份,13959.38,-30.66%,30.27%,688539.95
2010年05月份,10716.1,-20.61%,-4.40%,674580.57
2010年04月份,11209.85,6.07%,-28.87%,663864.47
2010年03月份,15759.54,-36.30%,61.98%,652654.62
2010年02月份,9729.22,-42.27%,-98.45%,636895.08
2009年12月份,5295.03,26.93%,-10.60%,612006.35
2009年11月份,5922.94,55.45%,102.70%,606711.32
2009年10月份,2921.46,-19.87%,-70.26%,600788.38
2009年09月份,9821.91,107.70%,182.20%,597866.92
2009年08月份,3479.93,-49.06%,-14.24%,588045.01
2009年07月份,4057.93,-19.31%,-79.84%,584565.08
2009年06月份,20131.11,161.90%,49.14%,580507.15
2009年05月份,13498.57,54.04%,27.73%,560376.04
2009年04月份,10567.99,47.17%,-57.28%,546877.47
2009年03月份,24738.57,130.40%,46.80%,536309.48
2009年02月份,16851.85,26.04%,-96.59%,511570.92
2008年12月份,4171.77,16.38%,9.49%,478444.21
2008年11月份,3810.09,-44.57%,4.51%,474272.44
2008年10月份,3645.74,183.80%,-22.91%,470462.35
2008年09月份,4729.13,-9.52%,-30.77%,466816.61
2008年08月份,6831.03,5.60%,35.83%,462087.48
2008年07月份,5028.96,326.60%,-34.58%,455256.45
2008年06月份,7686.63,-14.22%,-12.28%,450227.49
2008年05月份,8763.12,371.00%,22.04%,442540.86
2008年04月份,7180.81,69.12%,-33.13%,433777.74
2008年03月份,10737.68,25.85%,-19.69%,426596.93
2008年02月份,13370.18,152.70%,-96.68%,415859.25
