Month,Current_Month,Current_Month_YOY,Current_Month_Comparattive,Total,Total_YOY,
2012年06月份,16584.9,13.74%,-0.78%,98221.6,14.36%,
2012年05月份,16714.8,13.79%,7.12%,81636.7,14.48%,
2012年04月份,15603.1,14.08%,-0.30%,64921.9,14.66%,
2012年03月份,15650.2,15.15%,-53.52%,49318.79,14.84%,
2012年02月份,33668.64,14.70%,-,33668.64,14.70%,
2011年12月份,17739.7,18.15%,9.99%,181225.8,17.13%,
2011年11月份,16128.9,17.27%,-2.52%,163486.1,17.02%,
2011年10月份,16546.4,17.25%,4.29%,147357.2,17.00%,
2011年09月份,15865.1,17.75%,7.89%,130810.8,16.97%,
2011年08月份,14705,17.00%,2.06%,114945.7,16.90%,
2011年07月份,14408,17.20%,-1.08%,100240.7,16.80%,
2011年06月份,14565.1,17.69%,-0.90%,85832.7,16.78%,
2011年05月份,14696.8,16.90%,7.68%,71267.6,16.60%,
2011年04月份,13649,17.12%,0.45%,56570.8,16.52%,
2011年03月份,13588,17.44%,-1.32%,42921.8,16.34%,
2011年02月份,13769.1,11.63%,-9.70%,29018.1,15.83%,
2011年01月份,15249,19.90%,-0.53%,15249,19.90%,
2010年12月份,15329.5,19.10%,10.20%,154553.7,18.40%,
2010年11月份,13910.9,18.70%,-2.62%,139224.2,18.40%,
2010年10月份,14284.8,18.64%,5.53%,125313.3,18.30%,
2010年09月份,13536.5,18.84%,7.69%,111028.5,18.30%,
2010年08月份,12569.8,18.40%,2.59%,97492,18.20%,
2010年07月份,12252.8,17.95%,-0.63%,84922.2,18.17%,
2010年06月份,12329.9,18.30%,-1.00%,72669.4,18.20%,
2010年05月份,12455.06,18.66%,8.21%,60339.46,18.18%,
2010年04月份,11510.4,18.50%,1.67%,47884.4,18.10%,
2010年03月份,11321.7,18.00%,-8.21%,36374,17.90%,
2010年02月份,12334.2,22.10%,-3.02%,25052.3,17.90%,
2010年01月份,12718.1,14.00%,0.86%,12718.1,14.00%,
