Month,Current_Month_FDI,YOY,Comparative_Rate,Total,Total_YOY
2011年10月份,83.34,8.75%,-7.86%,963.02,15.37%
2011年09月份,90.45,7.88%,7.07%,879.54,16.16%
2011年08月份,84.47,11.11%,1.82%,786.89,17.48%
2011年07月份,82.96,19.82%,-35.50%,701.07,18.20%
2011年06月份,128.63,2.83%,39.44%,617.7,18.62%
2011年05月份,92.25,13.43%,8.99%,487.95,23.51%
2011年04月份,84.64,15.22%,-32.38%,391.82,25.40%
2011年03月份,125.17,32.89%,60.56%,306.62,28.73%
2011年02月份,77.95,32.24%,-22.26%,181.16,27.58%
2011年01月份,100.28,23.36%,-28.52%,100.6,22.15%
2010年12月份,140.28,15.56%,44.56%,1088.21,18.54%
2010年11月份,97.04,38.17%,26.63%,932.22,17.15%
2010年10月份,76.63,7.86%,-8.60%,820.03,13.21%
2010年09月份,83.84,6.14%,10.28%,757.19,16.03%
2010年08月份,76.02,1.38%,9.80%,669.83,17.18%
2010年07月份,69.24,29.19%,-44.65%,593.14,19.70%
2010年06月份,125.09,39.59%,53.82%,520.75,18.32%
2010年05月份,81.32,27.48%,10.70%,395.08,13.75%
2010年04月份,73.46,24.69%,-22.01%,312.45,10.74%
2010年03月份,94.19,12.08%,59.78%,238.19,7.20%
2010年02月份,58.95,1.06%,-27.48%,141.99,4.02%
2010年01月份,81.29,7.80%,-33.03%,82.35,6.15%
2009年12月份,121.39,103.10%,72.85%,918.04,-3.62%
2009年11月份,70.23,31.97%,-1.15%,795.77,-10.69%
2009年10月份,71.05,5.70%,-10.05%,724.37,-13.29%
2009年09月份,78.99,18.93%,5.33%,652.58,-14.63%
2009年08月份,74.99,7.00%,39.92%,571.61,-17.83%
2009年07月份,53.59,-35.71%,-40.19%,495.54,-20.49%
2009年06月份,89.61,-6.76%,40.47%,440.11,-18.07%
2009年05月份,63.79,-17.81%,8.27%,347.33,-21.00%
2009年04月份,58.92,-22.51%,-29.89%,282.14,-21.68%
2009年03月份,84.03,-9.50%,44.07%,222.19,-21.09%
2009年02月份,58.33,-15.81%,-22.65%,136.5,-26.47%
2009年01月份,75.41,-32.67%,26.15%,77.58,-32.17%
2008年12月份,59.78,-54.35%,12.33%,952.53,21.59%
2008年11月份,53.22,-30.70%,-20.83%,891.03,24.15%
2008年10月份,67.22,-0.80%,1.20%,835.36,32.19%
2008年09月份,66.42,26.04%,-5.23%,764.41,36.52%
2008年08月份,70.08,39.65%,-15.93%,695.68,38.24%
2008年07月份,83.36,65.32%,-13.26%,623.23,41.04%
2008年06月份,96.1,44.94%,23.83%,537.21,41.50%
2008年05月份,77.61,58.42%,2.08%,439.85,52.04%
2008年04月份,76.03,70.21%,-18.12%,360.24,56.11%
2008年03月份,92.86,50.17%,34.03%,281.58,59.13%
2008年02月份,69.28,52.80%,-38.14%,185.64,72.11%
2008年01月份,112,116.40%,-14.46%,114.38,105.20%
