Start_Date,End_Date,Transaction_End,Transaction_DailyAvg,Bank_Transfer_Added,Bank_Transfer_Deducted,Bank_Transfer_Net,Shanghai_Index_Closing,Shanghai_Index_Change
2014年9月1日,2014年9月5日,7606,9023,2445,4149,-1704,2326.43,4.93%
2014年8月25日,2014年8月29日,5656,7052,4372,2193,2179,2217.2,-1.05%
2014年8月18日,2014年8月22日,7689,7907,2056,2310,-254,2240.81,0.63%
2014年8月11日,2014年8月15日,7597,7463,2484,1971,513,2226.73,1.47%
2014年8月4日,2014年8月8日,7561,7726,1954,2213,-259,2194.43,0.42%
2014年7月28日,2014年8月1日,8018,7864,2142,3328,-1186,2185.3,2.76%
2014年7月21日,2014年7月25日,8168,6433,3437,1708,1729,2126.61,3.28%
2014年7月14日,2014年7月18日,6432,6563,1719,1838,-119,2059.07,0.59%
2014年7月7日,2014年7月11日,5890,6215,2086,1831,255,2046.96,-0.60%
2014年6月30日,2014年7月4日,6354,6276,2350,2321,29,2059.38,1.12%
2014年6月23日,2014年6月27日,6180,6500,1695,3307,-1612,2036.51,0.49%
2014年6月16日,2014年6月20日,7265,5783,3487,1686,1801,2026.67,-2.13%
